File 610: Started at 13:36:11, Finished at 13:39:17, Elapsed time: 185.797999706 seconds
File 771: Started at 13:36:12, Finished at 13:39:17, Elapsed time: 185.791834173 seconds
File 841: Started at 13:36:12, Finished at 13:39:17, Elapsed time: 185.780354036 seconds
File 42: Started at 13:36:11, Finished at 13:39:17, Elapsed time: 186.169863024 seconds
File 372: Started at 13:36:11, Finished at 13:39:17, Elapsed time: 186.087051916 seconds
File 39: Started at 13:36:11, Finished at 13:39:17, Elapsed time: 186.208718944 seconds
File 254: Started at 13:36:11, Finished at 13:39:17, Elapsed time: 186.190372638 seconds
File 114: Started at 13:36:11, Finished at 13:39:18, Elapsed time: 186.301217105 seconds
File 29: Started at 13:36:11, Finished at 13:39:18, Elapsed time: 186.421782616 seconds
File 595: Started at 13:36:11, Finished at 13:39:18, Elapsed time: 186.242475336 seconds
File 677: Started at 13:36:11, Finished at 13:39:18, Elapsed time: 186.235067018 seconds
File 35: Started at 13:36:11, Finished at 13:39:18, Elapsed time: 186.540457526 seconds
File 649: Started at 13:36:11, Finished at 13:39:18, Elapsed time: 186.256916337 seconds
File 421: Started at 13:36:11, Finished at 13:39:18, Elapsed time: 186.424492902 seconds
File 590: Started at 13:36:11, Finished at 13:39:18, Elapsed time: 186.539095099 seconds
File 253: Started at 13:36:11, Finished at 13:39:18, Elapsed time: 186.853246005 seconds
File 585: Started at 13:36:11, Finished at 13:39:18, Elapsed time: 186.795221210 seconds
File 793: Started at 13:36:12, Finished at 13:39:18, Elapsed time: 186.757953294 seconds
File 942: Started at 13:36:12, Finished at 13:39:18, Elapsed time: 186.681220767 seconds
File 963: Started at 13:36:12, Finished at 13:39:18, Elapsed time: 186.691251311 seconds
File 214: Started at 13:36:11, Finished at 13:39:18, Elapsed time: 187.072441248 seconds
File 939: Started at 13:36:12, Finished at 13:39:18, Elapsed time: 186.822937150 seconds
File 135: Started at 13:36:11, Finished at 13:39:19, Elapsed time: 187.278123734 seconds
File 979: Started at 13:36:12, Finished at 13:39:19, Elapsed time: 186.939734218 seconds
File 714: Started at 13:36:11, Finished at 13:39:19, Elapsed time: 187.134461507 seconds
File 539: Started at 13:36:11, Finished at 13:39:19, Elapsed time: 187.213339351 seconds
File 462: Started at 13:36:11, Finished at 13:39:19, Elapsed time: 187.220444739 seconds
File 601: Started at 13:36:11, Finished at 13:39:19, Elapsed time: 187.264125946 seconds
File 104: Started at 13:36:11, Finished at 13:39:19, Elapsed time: 187.720306984 seconds
File 73: Started at 13:36:11, Finished at 13:39:19, Elapsed time: 187.744226173 seconds
File 952: Started at 13:36:12, Finished at 13:39:19, Elapsed time: 187.309398833 seconds
File 441: Started at 13:36:11, Finished at 13:39:19, Elapsed time: 187.562518323 seconds
File 212: Started at 13:36:11, Finished at 13:39:19, Elapsed time: 187.683070025 seconds
File 858: Started at 13:36:12, Finished at 13:39:19, Elapsed time: 187.454336172 seconds
File 32: Started at 13:36:11, Finished at 13:39:19, Elapsed time: 187.932505099 seconds
File 333: Started at 13:36:11, Finished at 13:39:19, Elapsed time: 187.919336459 seconds
File 97: Started at 13:36:11, Finished at 13:39:19, Elapsed time: 188.064240737 seconds
File 366: Started at 13:36:11, Finished at 13:39:19, Elapsed time: 188.061449920 seconds
File 863: Started at 13:36:12, Finished at 13:39:19, Elapsed time: 187.771986278 seconds
File 968: Started at 13:36:12, Finished at 13:39:20, Elapsed time: 188.062121213 seconds
File 1020: Started at 13:36:12, Finished at 13:39:20, Elapsed time: 188.080212558 seconds
File 946: Started at 13:36:12, Finished at 13:39:20, Elapsed time: 188.126414524 seconds
File 322: Started at 13:36:11, Finished at 13:39:20, Elapsed time: 188.447050980 seconds
