File 272: Started at 13:12:33, Finished at 13:13:15, Elapsed time: 41.915889510 seconds
File 350: Started at 13:12:33, Finished at 13:13:15, Elapsed time: 41.914491927 seconds
File 146: Started at 13:12:33, Finished at 13:13:15, Elapsed time: 41.969737014 seconds
File 231: Started at 13:12:33, Finished at 13:13:15, Elapsed time: 42.019372609 seconds
File 301: Started at 13:12:33, Finished at 13:13:16, Elapsed time: 42.428045453 seconds
File 362: Started at 13:12:33, Finished at 13:13:16, Elapsed time: 42.817002880 seconds
File 206: Started at 13:12:33, Finished at 13:13:16, Elapsed time: 43.115860690 seconds
File 201: Started at 13:12:33, Finished at 13:13:17, Elapsed time: 43.117524722 seconds
File 262: Started at 13:12:33, Finished at 13:13:17, Elapsed time: 43.151804419 seconds
File 261: Started at 13:12:33, Finished at 13:13:17, Elapsed time: 43.782736059 seconds
File 218: Started at 13:12:33, Finished at 13:13:17, Elapsed time: 43.886000160 seconds
File 209: Started at 13:12:33, Finished at 13:13:17, Elapsed time: 44.065042542 seconds
File 150: Started at 13:12:33, Finished at 13:13:17, Elapsed time: 44.087489305 seconds
File 307: Started at 13:12:33, Finished at 13:13:18, Elapsed time: 44.500177739 seconds
File 363: Started at 13:12:33, Finished at 13:13:18, Elapsed time: 44.544717628 seconds
File 189: Started at 13:12:33, Finished at 13:13:18, Elapsed time: 44.865058799 seconds
File 133: Started at 13:12:33, Finished at 13:13:19, Elapsed time: 45.323356447 seconds
File 137: Started at 13:12:33, Finished at 13:13:19, Elapsed time: 45.341217433 seconds
File 314: Started at 13:12:33, Finished at 13:13:19, Elapsed time: 45.628241532 seconds
File 367: Started at 13:12:33, Finished at 13:13:19, Elapsed time: 45.760176197 seconds
File 353: Started at 13:12:33, Finished at 13:13:19, Elapsed time: 46.099649877 seconds
File 300: Started at 13:12:33, Finished at 13:13:20, Elapsed time: 46.144457905 seconds
File 308: Started at 13:12:33, Finished at 13:13:20, Elapsed time: 46.651655541 seconds
File 288: Started at 13:12:33, Finished at 13:13:20, Elapsed time: 46.738948528 seconds
File 15: Started at 13:12:33, Finished at 13:13:21, Elapsed time: 47.127306587 seconds
File 368: Started at 13:12:33, Finished at 13:13:21, Elapsed time: 47.179750738 seconds
File 198: Started at 13:12:33, Finished at 13:13:21, Elapsed time: 47.281617417 seconds
File 200: Started at 13:12:33, Finished at 13:13:21, Elapsed time: 47.490203967 seconds
File 233: Started at 13:12:33, Finished at 13:13:21, Elapsed time: 47.664315482 seconds
File 323: Started at 13:12:33, Finished at 13:13:21, Elapsed time: 48.075558512 seconds
File 195: Started at 13:12:33, Finished at 13:13:22, Elapsed time: 48.350287551 seconds
File 186: Started at 13:12:33, Finished at 13:13:22, Elapsed time: 48.555159440 seconds
File 369: Started at 13:12:33, Finished at 13:13:22, Elapsed time: 48.821762977 seconds
File 325: Started at 13:12:33, Finished at 13:13:22, Elapsed time: 48.838470138 seconds
File 225: Started at 13:12:33, Finished at 13:13:23, Elapsed time: 49.147334174 seconds
