File 141: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .137130669 seconds
File 40: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .198951693 seconds
File 261: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .064017003 seconds
File 309: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .066819688 seconds
File 234: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .056723201 seconds
File 150: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .167442080 seconds
File 145: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .140111724 seconds
File 50: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .183785984 seconds
File 329: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .058515413 seconds
File 305: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .075442074 seconds
File 71: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .141943974 seconds
File 119: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .319657510 seconds
File 283: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .110202071 seconds
File 295: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .066332161 seconds
File 186: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .218505022 seconds
File 147: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .106573800 seconds
File 259: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .088299936 seconds
File 209: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .080937454 seconds
File 326: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .021320769 seconds
File 590: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .027209927 seconds
File 201: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .078894626 seconds
File 112: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .151896731 seconds
File 217: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .104787859 seconds
File 168: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .089734088 seconds
File 270: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .181506926 seconds
File 158: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .293687647 seconds
File 134: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .301550595 seconds
File 166: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .098265453 seconds
File 83: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .139209708 seconds
File 79: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .136474752 seconds
File 218: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .110250670 seconds
File 128: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .132672053 seconds
File 207: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .181178097 seconds
File 368: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .209610128 seconds
File 161: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .254906119 seconds
File 111: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .163209861 seconds
File 178: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .186795978 seconds
File 238: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .087142242 seconds
File 69: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .083178663 seconds
File 308: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .124036549 seconds
File 459: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .054150165 seconds
File 284: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .216203184 seconds
File 564: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .065353576 seconds
File 342: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .131895976 seconds
File 85: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .206998593 seconds
File 227: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .257712184 seconds
File 286: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .206870943 seconds
File 510: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .018851841 seconds
File 369: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .019656086 seconds
File 160: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .171696487 seconds
File 228: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .208817553 seconds
File 569: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .124351546 seconds
File 311: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .059791685 seconds
File 252: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .204906163 seconds
File 142: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .311871381 seconds
File 486: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .106652290 seconds
File 336: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .189398785 seconds
File 64: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .084812934 seconds
File 250: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .181927164 seconds
File 197: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .151417974 seconds
File 237: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .230993796 seconds
File 655: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .038711446 seconds
File 310: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .060622351 seconds
File 269: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .186465440 seconds
File 380: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .102045784 seconds
File 301: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .064857368 seconds
File 172: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .134362793 seconds
File 299: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .085857069 seconds
File 281: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .141599806 seconds
File 324: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .077153814 seconds
File 106: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .295660356 seconds
File 374: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .110995456 seconds
File 195: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .216640841 seconds
File 126: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .101029379 seconds
File 248: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .151442834 seconds
File 395: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .046651325 seconds
File 76: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .139069128 seconds
File 364: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .134712652 seconds
File 268: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .172035905 seconds
File 302: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .084974194 seconds
File 322: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .082449246 seconds
File 256: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .219317867 seconds
File 354: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .105679055 seconds
File 149: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .217897615 seconds
File 100: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .299607884 seconds
File 236: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .105630845 seconds
File 285: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .219087719 seconds
File 562: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .138301003 seconds
File 350: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .125151983 seconds
File 246: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .137516647 seconds
File 313: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .233660611 seconds
File 527: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .056421914 seconds
File 282: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .217382927 seconds
File 307: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .127977058 seconds
File 298: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .112166580 seconds
File 179: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .202639616 seconds
File 331: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .094163995 seconds
File 251: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .180606941 seconds
File 362: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .144391681 seconds
File 319: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .077908201 seconds
File 205: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .143286667 seconds
File 276: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .166981972 seconds
File 371: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .126049897 seconds
File 159: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .197976489 seconds
File 363: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .204766913 seconds
File 214: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .211965146 seconds
File 460: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .080110869 seconds
File 294: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .196276218 seconds
File 278: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .262813898 seconds
File 257: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .188744377 seconds
File 255: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .129959756 seconds
File 108: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .332761060 seconds
File 23: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .138797421 seconds
File 671: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .086594765 seconds
File 317: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .135340069 seconds
File 535: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .142772249 seconds
File 327: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .202957414 seconds
File 300: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .153924801 seconds
File 676: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .078828875 seconds
File 360: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .107416485 seconds
File 95: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .299276217 seconds
File 239: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .173961246 seconds
File 185: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .180241562 seconds
File 280: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .226630999 seconds
File 262: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .136035395 seconds
File 496: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .188089721 seconds
File 296: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .183535925 seconds
File 258: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .221484576 seconds
File 184: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .225532194 seconds
File 330: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .174263013 seconds
File 118: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .304324820 seconds
File 222: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .248321774 seconds
File 304: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .148235781 seconds
File 200: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .237142464 seconds
File 249: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .177321948 seconds
File 182: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .250034665 seconds
File 394: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .055903387 seconds
File 273: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .109618584 seconds
File 245: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .304716338 seconds
File 204: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .349757712 seconds
File 122: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .197114263 seconds
File 293: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .283373870 seconds
File 290: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .141262637 seconds
File 192: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .353100933 seconds
File 567: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .055982396 seconds
File 382: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .064180192 seconds
File 316: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .100266723 seconds
File 372: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .171245740 seconds
File 425: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .141924094 seconds
File 501: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .143353896 seconds
File 312: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .167749158 seconds
File 422: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .123281192 seconds
File 456: Started at 12:17:32, Finished at 12:17:33, Elapsed time: .225035617 seconds
File 157: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .248295015 seconds
File 213: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .212384804 seconds
File 43: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .205016602 seconds
File 366: Started at 12:17:32, Finished at 12:17:33, Elapsed time: .366923951 seconds
File 563: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .171333418 seconds
File 175: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .251861266 seconds
File 384: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .197950929 seconds
File 163: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .285281071 seconds
File 341: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .127634429 seconds
File 370: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .120357057 seconds
File 378: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .105226718 seconds
File 223: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .075850050 seconds
File 534: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .069911452 seconds
File 334: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .145043798 seconds
File 272: Started at 12:17:32, Finished at 12:17:33, Elapsed time: .420547189 seconds
File 306: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .158083679 seconds
File 778: Started at 12:17:32, Finished at 12:17:33, Elapsed time: .124752414 seconds
File 512: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .089869547 seconds
File 315: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .073981631 seconds
File 375: Started at 12:17:32, Finished at 12:17:33, Elapsed time: .313102114 seconds
File 208: Started at 12:17:32, Finished at 12:17:33, Elapsed time: .408262473 seconds
File 194: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .235701961 seconds
File 357: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .174468592 seconds
File 337: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .151867422 seconds
File 356: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .106015343 seconds
File 519: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .104526091 seconds
File 802: Started at 12:17:32, Finished at 12:17:33, Elapsed time: .179298877 seconds
