File 672: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .689381181 seconds
File 553: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .722068992 seconds
File 738: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .690159916 seconds
File 342: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .832096100 seconds
File 543: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .750103499 seconds
File 620: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .733941357 seconds
File 443: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .751662920 seconds
File 576: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .732639765 seconds
File 558: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .716221335 seconds
File 301: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .735080141 seconds
File 444: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .860618505 seconds
File 570: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .723535295 seconds
File 662: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .708196029 seconds
File 433: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .759685646 seconds
File 630: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .736415315 seconds
File 583: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .730239738 seconds
File 598: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .728567848 seconds
File 587: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .735535609 seconds
File 591: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .734701764 seconds
File 579: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .738501213 seconds
File 560: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .752087338 seconds
File 631: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .749766431 seconds
File 700: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .723682093 seconds
File 663: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .730013098 seconds
File 573: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .744531149 seconds
File 594: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .749996580 seconds
File 590: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .753178443 seconds
File 632: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .752716615 seconds
File 206: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .881615430 seconds
File 288: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .771679311 seconds
File 614: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .739561397 seconds
File 534: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .753163472 seconds
File 778: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .752209107 seconds
File 432: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .787543265 seconds
File 540: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .808974008 seconds
File 510: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .897838781 seconds
File 642: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .775374931 seconds
File 596: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .779570718 seconds
File 190: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .896159441 seconds
File 575: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .771525962 seconds
File 665: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .769206944 seconds
File 701: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .766936537 seconds
File 546: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .781048829 seconds
File 597: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .795218703 seconds
File 567: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .796388675 seconds
File 530: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .791382753 seconds
File 727: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .792871785 seconds
File 505: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .822537893 seconds
File 550: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .800642653 seconds
File 589: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .798997732 seconds
File 702: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .793327393 seconds
File 600: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .824185115 seconds
File 709: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .792369818 seconds
File 730: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .814151559 seconds
File 349: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .969101621 seconds
File 588: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .817286892 seconds
File 735: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .820680693 seconds
File 622: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .826053383 seconds
File 611: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .828227711 seconds
File 302: Started at 12:12:21, Finished at 12:12:22, Elapsed time: 1.044205361 seconds
File 205: Started at 12:12:21, Finished at 12:12:22, Elapsed time: 1.041305868 seconds
File 722: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .804278693 seconds
File 165: Started at 12:12:21, Finished at 12:12:22, Elapsed time: 1.061553247 seconds
File 200: Started at 12:12:21, Finished at 12:12:22, Elapsed time: 1.060236683 seconds
File 332: Started at 12:12:21, Finished at 12:12:22, Elapsed time: 1.032822543 seconds
File 410: Started at 12:12:21, Finished at 12:12:22, Elapsed time: 1.025566982 seconds
File 137: Started at 12:12:21, Finished at 12:12:22, Elapsed time: 1.053842998 seconds
File 107: Started at 12:12:21, Finished at 12:12:22, Elapsed time: 1.032671934 seconds
File 199: Started at 12:12:21, Finished at 12:12:22, Elapsed time: 1.078091436 seconds
File 55: Started at 12:12:21, Finished at 12:12:22, Elapsed time: 1.043177547 seconds
File 78: Started at 12:12:21, Finished at 12:12:22, Elapsed time: 1.080158014 seconds
File 462: Started at 12:12:21, Finished at 12:12:22, Elapsed time: 1.026521968 seconds
File 10: Started at 12:12:21, Finished at 12:12:22, Elapsed time: 1.059060010 seconds
File 184: Started at 12:12:21, Finished at 12:12:22, Elapsed time: 1.060124304 seconds
File 275: Started at 12:12:21, Finished at 12:12:22, Elapsed time: 1.085144717 seconds
File 124: Started at 12:12:21, Finished at 12:12:22, Elapsed time: 1.105046739 seconds
File 171: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.096340196 seconds
File 176: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.079030970 seconds
File 269: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.079418079 seconds
File 218: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.084483041 seconds
File 225: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.099807307 seconds
File 207: Started at 12:12:21, Finished at 12:12:23, Elapsed time: 1.100559193 seconds
