File 520: Started at 13:17:47, Finished at 13:20:44, Elapsed time: 176.268905635 seconds
File 498: Started at 13:17:47, Finished at 13:20:44, Elapsed time: 176.335366612 seconds
File 6: Started at 13:17:47, Finished at 13:20:44, Elapsed time: 176.562726621 seconds
File 263: Started at 13:17:47, Finished at 13:20:44, Elapsed time: 176.469976298 seconds
File 433: Started at 13:17:47, Finished at 13:20:44, Elapsed time: 176.466780163 seconds
File 689: Started at 13:17:48, Finished at 13:20:44, Elapsed time: 176.430059937 seconds
File 356: Started at 13:17:47, Finished at 13:20:44, Elapsed time: 176.624070094 seconds
File 79: Started at 13:17:47, Finished at 13:20:44, Elapsed time: 177.159984330 seconds
File 237: Started at 13:17:47, Finished at 13:20:45, Elapsed time: 177.202106523 seconds
File 592: Started at 13:17:47, Finished at 13:20:45, Elapsed time: 177.273414268 seconds
File 1022: Started at 13:17:48, Finished at 13:20:45, Elapsed time: 177.245084424 seconds
File 854: Started at 13:17:48, Finished at 13:20:45, Elapsed time: 177.260103893 seconds
File 146: Started at 13:17:47, Finished at 13:20:45, Elapsed time: 177.643790785 seconds
File 31: Started at 13:17:47, Finished at 13:20:45, Elapsed time: 177.759078192 seconds
File 698: Started at 13:17:48, Finished at 13:20:45, Elapsed time: 177.780738083 seconds
File 985: Started at 13:17:48, Finished at 13:20:45, Elapsed time: 177.616692036 seconds
File 876: Started at 13:17:48, Finished at 13:20:45, Elapsed time: 177.701833765 seconds
File 450: Started at 13:17:47, Finished at 13:20:46, Elapsed time: 178.377318924 seconds
File 194: Started at 13:17:47, Finished at 13:20:46, Elapsed time: 178.620492678 seconds
File 171: Started at 13:17:47, Finished at 13:20:46, Elapsed time: 178.938631651 seconds
File 690: Started at 13:17:48, Finished at 13:20:46, Elapsed time: 178.763047139 seconds
File 637: Started at 13:17:47, Finished at 13:20:46, Elapsed time: 178.883537413 seconds
File 40: Started at 13:17:47, Finished at 13:20:46, Elapsed time: 179.169837833 seconds
File 545: Started at 13:17:47, Finished at 13:20:47, Elapsed time: 179.096272071 seconds
File 53: Started at 13:17:47, Finished at 13:20:47, Elapsed time: 179.277663176 seconds
File 680: Started at 13:17:48, Finished at 13:20:47, Elapsed time: 179.115336002 seconds
File 959: Started at 13:17:48, Finished at 13:20:47, Elapsed time: 179.219151365 seconds
File 505: Started at 13:17:47, Finished at 13:20:47, Elapsed time: 179.515784937 seconds
File 708: Started at 13:17:47, Finished at 13:20:47, Elapsed time: 179.540380322 seconds
File 11: Started at 13:17:47, Finished at 13:20:47, Elapsed time: 179.773312164 seconds
File 544: Started at 13:17:47, Finished at 13:20:47, Elapsed time: 179.999735909 seconds
File 629: Started at 13:17:47, Finished at 13:20:47, Elapsed time: 179.972480088 seconds
File 480: Started at 13:17:47, Finished at 13:20:47, Elapsed time: 180.010072681 seconds
File 564: Started at 13:17:47, Finished at 13:20:48, Elapsed time: 180.328486483 seconds
File 966: Started at 13:17:48, Finished at 13:20:48, Elapsed time: 180.303532843 seconds
File 147: Started at 13:17:47, Finished at 13:20:48, Elapsed time: 180.704004266 seconds
File 828: Started at 13:17:48, Finished at 13:20:48, Elapsed time: 180.490204844 seconds
File 821: Started at 13:17:48, Finished at 13:20:48, Elapsed time: 180.512307140 seconds
File 521: Started at 13:17:47, Finished at 13:20:48, Elapsed time: 180.696055554 seconds
File 867: Started at 13:17:48, Finished at 13:20:48, Elapsed time: 180.739580791 seconds
File 462: Started at 13:17:47, Finished at 13:20:48, Elapsed time: 181.002101854 seconds
File 540: Started at 13:17:47, Finished at 13:20:49, Elapsed time: 181.125044465 seconds
File 833: Started at 13:17:48, Finished at 13:20:49, Elapsed time: 181.002856912 seconds
File 523: Started at 13:17:47, Finished at 13:20:49, Elapsed time: 181.420912213 seconds
File 774: Started at 13:17:48, Finished at 13:20:49, Elapsed time: 181.491604122 seconds
File 76: Started at 13:17:47, Finished at 13:20:49, Elapsed time: 182.042384367 seconds
File 394: Started at 13:17:47, Finished at 13:20:49, Elapsed time: 182.013579524 seconds
File 968: Started at 13:17:48, Finished at 13:20:50, Elapsed time: 181.809475847 seconds
File 665: Started at 13:17:47, Finished at 13:20:50, Elapsed time: 182.747959580 seconds
File 506: Started at 13:17:47, Finished at 13:20:50, Elapsed time: 182.830997459 seconds
File 250: Started at 13:17:47, Finished at 13:20:51, Elapsed time: 183.770054558 seconds
File 799: Started at 13:17:48, Finished at 13:20:51, Elapsed time: 183.559536182 seconds
File 574: Started at 13:17:47, Finished at 13:20:51, Elapsed time: 183.809404174 seconds
File 552: Started at 13:17:47, Finished at 13:20:51, Elapsed time: 183.866083838 seconds
File 108: Started at 13:17:47, Finished at 13:20:51, Elapsed time: 184.121006187 seconds
File 497: Started at 13:17:47, Finished at 13:20:52, Elapsed time: 184.117510264 seconds
File 998: Started at 13:17:48, Finished at 13:20:52, Elapsed time: 183.990777862 seconds
File 254: Started at 13:17:47, Finished at 13:20:52, Elapsed time: 184.246187958 seconds
File 981: Started at 13:17:48, Finished at 13:20:52, Elapsed time: 184.070469508 seconds
File 1013: Started at 13:17:48, Finished at 13:20:52, Elapsed time: 184.143765673 seconds
File 888: Started at 13:17:48, Finished at 13:20:52, Elapsed time: 184.092572355 seconds
File 64: Started at 13:17:47, Finished at 13:20:52, Elapsed time: 184.471415698 seconds
File 408: Started at 13:17:48, Finished at 13:20:52, Elapsed time: 184.454490320 seconds
File 209: Started at 13:17:47, Finished at 13:20:52, Elapsed time: 184.665801403 seconds
File 777: Started at 13:17:48, Finished at 13:20:52, Elapsed time: 184.495392489 seconds
File 874: Started at 13:17:48, Finished at 13:20:52, Elapsed time: 184.587452805 seconds
File 533: Started at 13:17:47, Finished at 13:20:52, Elapsed time: 184.962586108 seconds
File 121: Started at 13:17:47, Finished at 13:20:52, Elapsed time: 185.136917747 seconds
File 975: Started at 13:17:48, Finished at 13:20:53, Elapsed time: 185.116382597 seconds
File 610: Started at 13:17:47, Finished at 13:20:53, Elapsed time: 185.609419485 seconds
File 90: Started at 13:17:47, Finished at 13:20:53, Elapsed time: 185.800526805 seconds
File 727: Started at 13:17:47, Finished at 13:20:53, Elapsed time: 185.642976358 seconds
File 131: Started at 13:17:47, Finished at 13:20:53, Elapsed time: 185.872761845 seconds
File 614: Started at 13:17:47, Finished at 13:20:53, Elapsed time: 185.853122719 seconds
File 15: Started at 13:17:47, Finished at 13:20:53, Elapsed time: 186.069152571 seconds
File 173: Started at 13:17:47, Finished at 13:20:53, Elapsed time: 186.099268379 seconds
File 470: Started at 13:17:47, Finished at 13:20:54, Elapsed time: 186.181263635 seconds
File 496: Started at 13:17:47, Finished at 13:20:54, Elapsed time: 186.324403772 seconds
File 104: Started at 13:17:47, Finished at 13:20:54, Elapsed time: 186.526303620 seconds
File 516: Started at 13:17:47, Finished at 13:20:54, Elapsed time: 186.615320612 seconds
File 878: Started at 13:17:48, Finished at 13:20:54, Elapsed time: 186.442480518 seconds
File 85: Started at 13:17:47, Finished at 13:20:54, Elapsed time: 186.808216103 seconds
File 921: Started at 13:17:48, Finished at 13:20:54, Elapsed time: 186.447782954 seconds
File 253: Started at 13:17:47, Finished at 13:20:54, Elapsed time: 186.887957669 seconds
File 274: Started at 13:17:47, Finished at 13:20:54, Elapsed time: 186.943697656 seconds
File 623: Started at 13:17:48, Finished at 13:20:54, Elapsed time: 186.916577236 seconds
File 605: Started at 13:17:47, Finished at 13:20:55, Elapsed time: 187.053400621 seconds
File 196: Started at 13:17:47, Finished at 13:20:55, Elapsed time: 187.238678968 seconds
File 172: Started at 13:17:47, Finished at 13:20:55, Elapsed time: 187.245911144 seconds
File 790: Started at 13:17:48, Finished at 13:20:55, Elapsed time: 186.911233583 seconds
File 999: Started at 13:17:48, Finished at 13:20:55, Elapsed time: 187.059103756 seconds
File 1017: Started at 13:17:48, Finished at 13:20:55, Elapsed time: 187.018349659 seconds
File 603: Started at 13:17:47, Finished at 13:20:55, Elapsed time: 187.175171309 seconds
File 397: Started at 13:17:47, Finished at 13:20:55, Elapsed time: 187.271364776 seconds
File 82: Started at 13:17:47, Finished at 13:20:55, Elapsed time: 187.453462818 seconds
File 781: Started at 13:17:48, Finished at 13:20:55, Elapsed time: 187.248921753 seconds
File 177: Started at 13:17:47, Finished at 13:20:55, Elapsed time: 187.622179654 seconds
File 938: Started at 13:17:48, Finished at 13:20:55, Elapsed time: 187.389820171 seconds
File 914: Started at 13:17:48, Finished at 13:20:55, Elapsed time: 187.404228812 seconds
File 256: Started at 13:17:47, Finished at 13:20:55, Elapsed time: 187.747720524 seconds
File 295: Started at 13:17:47, Finished at 13:20:55, Elapsed time: 187.784242082 seconds
File 756: Started at 13:17:48, Finished at 13:20:55, Elapsed time: 187.613582757 seconds
File 547: Started at 13:17:47, Finished at 13:20:55, Elapsed time: 187.951661675 seconds
File 437: Started at 13:17:47, Finished at 13:20:55, Elapsed time: 187.946732929 seconds
File 413: Started at 13:17:47, Finished at 13:20:55, Elapsed time: 188.001794869 seconds
File 912: Started at 13:17:48, Finished at 13:20:56, Elapsed time: 188.116753391 seconds
File 396: Started at 13:17:48, Finished at 13:20:56, Elapsed time: 188.211000356 seconds
File 1024: Started at 13:17:48, Finished at 13:20:56, Elapsed time: 188.147379456 seconds
File 224: Started at 13:17:47, Finished at 13:20:56, Elapsed time: 188.501451187 seconds
File 264: Started at 13:17:47, Finished at 13:20:56, Elapsed time: 188.551799031 seconds
File 398: Started at 13:17:47, Finished at 13:20:56, Elapsed time: 188.542153256 seconds
File 669: Started at 13:17:48, Finished at 13:20:56, Elapsed time: 188.558436021 seconds
File 453: Started at 13:17:47, Finished at 13:20:56, Elapsed time: 188.753866181 seconds
File 21: Started at 13:17:47, Finished at 13:20:56, Elapsed time: 189.115520247 seconds
File 736: Started at 13:17:48, Finished at 13:20:56, Elapsed time: 188.857596033 seconds
File 457: Started at 13:17:47, Finished at 13:20:56, Elapsed time: 189.001983613 seconds
File 46: Started at 13:17:47, Finished at 13:20:57, Elapsed time: 189.259489820 seconds
File 495: Started at 13:17:47, Finished at 13:20:57, Elapsed time: 189.140137613 seconds
File 390: Started at 13:17:47, Finished at 13:20:57, Elapsed time: 189.196327479 seconds
File 619: Started at 13:17:47, Finished at 13:20:57, Elapsed time: 189.132514790 seconds
File 179: Started at 13:17:47, Finished at 13:20:57, Elapsed time: 189.374867309 seconds
File 905: Started at 13:17:48, Finished at 13:20:57, Elapsed time: 189.050528317 seconds
File 751: Started at 13:17:48, Finished at 13:20:57, Elapsed time: 189.332076341 seconds
File 354: Started at 13:17:47, Finished at 13:20:57, Elapsed time: 189.466950906 seconds
File 785: Started at 13:17:48, Finished at 13:20:57, Elapsed time: 189.216192228 seconds
File 41: Started at 13:17:47, Finished at 13:20:57, Elapsed time: 189.671153063 seconds
File 214: Started at 13:17:47, Finished at 13:20:57, Elapsed time: 189.643577194 seconds
File 88: Started at 13:17:47, Finished at 13:20:57, Elapsed time: 189.693877817 seconds
File 826: Started at 13:17:48, Finished at 13:20:57, Elapsed time: 189.392930986 seconds
File 866: Started at 13:17:48, Finished at 13:20:57, Elapsed time: 189.536200781 seconds
File 118: Started at 13:17:47, Finished at 13:20:57, Elapsed time: 189.904313067 seconds
File 673: Started at 13:17:48, Finished at 13:20:57, Elapsed time: 189.723715469 seconds
File 468: Started at 13:17:47, Finished at 13:20:57, Elapsed time: 189.871613582 seconds
File 94: Started at 13:17:47, Finished at 13:20:57, Elapsed time: 189.980290400 seconds
File 607: Started at 13:17:47, Finished at 13:20:57, Elapsed time: 189.878459729 seconds
File 367: Started at 13:17:47, Finished at 13:20:57, Elapsed time: 189.956834951 seconds
File 837: Started at 13:17:48, Finished at 13:20:58, Elapsed time: 189.976360842 seconds
File 155: Started at 13:17:47, Finished at 13:20:58, Elapsed time: 190.467330408 seconds
File 84: Started at 13:17:47, Finished at 13:20:58, Elapsed time: 190.448825005 seconds
File 569: Started at 13:17:47, Finished at 13:20:58, Elapsed time: 190.337978628 seconds
File 815: Started at 13:17:48, Finished at 13:20:58, Elapsed time: 190.165270103 seconds
File 185: Started at 13:17:47, Finished at 13:20:58, Elapsed time: 190.573223550 seconds
File 218: Started at 13:17:47, Finished at 13:20:58, Elapsed time: 190.568322894 seconds
File 615: Started at 13:17:47, Finished at 13:20:58, Elapsed time: 190.464052624 seconds
File 1008: Started at 13:17:48, Finished at 13:20:58, Elapsed time: 190.432191117 seconds
File 740: Started at 13:17:48, Finished at 13:20:58, Elapsed time: 190.518007812 seconds
File 386: Started at 13:17:47, Finished at 13:20:58, Elapsed time: 190.823492354 seconds
File 926: Started at 13:17:48, Finished at 13:20:58, Elapsed time: 190.727806585 seconds
File 306: Started at 13:17:47, Finished at 13:20:58, Elapsed time: 191.021735870 seconds
File 333: Started at 13:17:47, Finished at 13:20:58, Elapsed time: 191.002865180 seconds
